model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
sid_4e5446e8_0104_4716_a1a3_e21f008011b7,f341a0af3e5e4deca1bad13d8178808d.bpmn,0,0,0,0,0,0,8,8,1,4,1,11,0,0,0,0,0,0,2,0,2,0,0
sid_4f03bfac_6870_4951_8bba_a7e16355e589,2f0a98ab75d64fa983cfcf635aeae433.bpmn,0,0,0,0,0,0,22,11,1,11,1,19,0,0,0,0,0,0,2,0,2,0,0
sid_5015db90_2cd3_4900_9985_94fd0de5740c,5a79274aaf524b56bf5ba539c144888d.bpmn,0,0,0,0,0,0,8,5,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0
sid_50c4692c_8034_46db_b375_03a1e2504d0f,f31d9fc1287b4c709804f338eb3286e6.bpmn,0,0,0,0,0,0,18,10,1,9,1,16,0,0,0,0,0,0,3,0,0,0,0
sid_50fdb75e_4f74_4806_84e0_861811d72a59,1b5c3cd35410488ebbe9752fd08b6483.bpmn,0,0,0,0,0,0,20,11,1,10,1,13,0,0,0,0,0,0,1,0,0,0,0
sid_51318cd8_87de_43eb_ae12_53a8722ff3e8,0f41ca6e9a254552aee49cd0d8d3129b.bpmn,0,0,0,0,0,0,14,7,1,7,1,10,0,0,0,0,0,0,1,0,0,0,0
sid_515646ac_9fe2_4821_b8bb_6221cf995228,6ba8d692370245fc8d503594a94aed31.bpmn,0,0,0,0,0,0,6,3,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
sid_51ce2cc1_ec9c_49a8_900b_62d5dea1183a,1ce42cf79f3e4c3e9c1129c9145a9c75.bpmn,0,0,0,0,0,0,4,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0
sid_529fb700_2c71_4e92_ade0_78e677ee2f52,f227b41c9a064e7c8ea1b54eb1df9734.bpmn,0,0,0,0,0,0,14,9,1,7,1,14,0,0,0,0,0,0,2,0,2,0,0
sid_557f4eb2_983e_4437_920c_83a9b5920c84,4a2f675de6064ca0868c96c95522b8ec.bpmn,0,0,0,0,0,0,6,3,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_55e03d8a_7ec7_4221_a353_afe03bfcd155,4fba0078103d44d9846d4fbec51710cb.bpmn,0,0,0,0,0,0,14,7,1,7,1,20,0,0,0,0,0,0,6,0,0,0,0
sid_57deb9e0_f5ba_4380_a35e_0656d288167a,1f1b01e0a85340689b6df314b32bb4b6.bpmn,0,0,0,0,0,0,48,24,1,24,1,41,0,0,0,0,0,0,7,0,0,1,0
sid_5823deaf_f759_45fe_9cab_90ce484355cd,04da54e7c0e846ef99ced3e27c68650d.bpmn,0,0,0,0,0,0,12,6,1,6,1,13,0,0,0,0,0,0,0,2,1,0,0
sid_582cea88_8725_425b_9254_28565e92cea7,2cbf1748824047488a865dddad084390.bpmn,0,0,0,0,0,0,10,5,1,5,1,11,0,0,0,0,0,0,2,0,1,0,0
sid_58485904_a81a_4272_b538_07f8d1088ece,1dccc40d34ef40f9b36123e2fbca1a63.bpmn,0,0,0,0,0,0,26,18,1,13,1,14,0,0,0,0,0,0,0,0,0,0,0
sid_587b855e_e0fe_469a_98d4_8f7c3f2307d4,1c39124a3f10408e9b45639c1c042949.bpmn,0,0,0,0,0,0,6,3,1,3,1,8,0,0,0,0,0,0,0,0,0,1,1
sid_592364d0_3782_4d34_bcb3_5a37f16f70e4,5a8e825c3a9a4049b67ab53c2ba7abc8.bpmn,0,0,0,0,0,0,20,16,1,10,1,24,0,0,0,0,0,0,5,0,0,1,1
sid_5ab5694d_5515_4230_b9bb_b4a7e539bca1,f36ac5e91c5742759c6138f1ec8176a5.bpmn,0,0,0,0,0,0,16,8,1,8,1,13,0,0,0,0,0,0,1,0,1,0,0
sid_5aefb762_fb87_4c5e_96a2_1e48284acd78,0beae7f82e4f4f03a8d05e1483a6f865.bpmn,0,0,0,0,0,0,18,9,1,9,1,17,0,0,0,0,0,0,2,0,0,1,1
sid_5c5aebf3_c771_4ce1_9deb_0eb3d7289d01,4ddf7fe375a341d29a45fdf3631270dc.bpmn,0,0,0,0,0,0,18,11,1,9,1,19,0,0,0,0,0,0,3,0,0,1,1
sid_5cb5aedb_f75b_499c_b997_e2da478d7d13,3e37af0f876544f5ac5a859f9a006344.bpmn,0,0,0,0,0,0,12,7,1,6,1,9,0,0,0,0,0,0,1,0,0,0,0
